Tema,Item,Peso
Descriptiva,Clasificar tipos de variables,1
Descriptiva,Calcular frecuencias relativas,1
Descriptiva,Calcular frecuencias acumuladas,1
Descriptiva,Identificar el tamaño muestral a partir de la muestra,1
Descriptiva,Identificar el tamaño muestral a partir de un diagrama,1
Descriptiva,Construir la tabla de frecuencias sin datos agrupados,1
Descriptiva,Construir la tabla de frecuencias con datos agrupados,1
Descriptiva,Dibujar un diagrama de barras y el correspondiente polígono,1
Descriptiva,Dibujar un diagrama de barras de frecuencias acumuladas y el correspondiente polígono,1
Descriptiva,Dibujar un histograma y el correspondiente polígono,1
Descriptiva,Dibujar un histograma de frecuencias acumuladas y el correspondiente polígono,1
Descriptiva,Dibujar un diagrama de sectores,1
Descriptiva,"Obtener la distribución de frecuencias a partir de un diagrama de barras, histograma o sectores",3
Descriptiva,Identificar el diagrama de frecuencias más apropiado para cada caso,2
Descriptiva,Identificar distribuciones normales (con forma de campana de Gauss) ,2
Descriptiva,Identificar la asimetría de una distribución a partir del diagrama de barras o histograma,1
Descriptiva,Identificar el apuntamiento de una distribución a partir del diagrama de barras o histograma,1
Descriptiva,Calcular la media aritmética a partir de la muestra,2
Descriptiva,Calcular la media aritmética a partir de la tabla de frecuencias,2
Descriptiva,Calcular la media aritmética a partir de las sumas,2
Descriptiva,Interpretar la media aritmética,2
Descriptiva,Calcular la media ponderada,2
Descriptiva,Calcular la mediana a partir de la muestra,2
Descriptiva,Calcular la mediana a partir de la tabla de frecuencias sin datos agrupados,2
Descriptiva,Calcular la mediana a partir de la tabla de frecuencias con datos agrupados (interpolación),2
Descriptiva,Interpretar la mediana,2
Descriptiva,Calcular la moda a partir de la muestra,1
Descriptiva,Calcular la moda a partir de la tabla de frecuencias,1
Descriptiva,Interpretar la moda,1
Descriptiva,Identificar el estadístico de tendencia central más apropiado en cada caso,2
Descriptiva,Calcular percenciles a partir de la tabla de frecuencias sin datos agrupados,2
Descriptiva,Calcular percenciles a partir de la tabla de frecuencias con datos agrupados (interpolación),2
Descriptiva,Calcular la frecuencia acumulada hasta un determinado valor con datos agrupados (interpolación),2
Descriptiva,Interpretar percentiles,2
Descriptiva,Calcular el recorrido,1
Descriptiva,Calcular el rango intercuartílico,1
Descriptiva,Interpretar el rango intercuartílico,2
Descriptiva,Calcular las vallas del diagrama de caja y bigotes,1
Descriptiva,Dibujar la caja del diagrama de caja y bigotes,1
Descriptiva,Dibujar los bigotes del diagrama de caja y bigotes,1
Descriptiva,Identificar los datos atípicos a partir de las vallas,1
Descriptiva,Interpretar la asimetría a partir del diagrama de caja y bigotes,1
Descriptiva,Calcular la desviación de un dato a la media,1
Descriptiva,Calcular la varianza a partir de la muestra,2
Descriptiva,Calcular la varianza a partir de la tabla de frecuencias,2
Descriptiva,Calcular la varianza a partir de las sumas,2
Descriptiva,Interpretar la varianza (unidades),1
Descriptiva,Calcular la desviación típica,1
Descriptiva,Interpretar la desviación típica,2
Descriptiva,Calcular el coeficiente de variación,1
Descriptiva,Interpretar el coeficiente de variación,2
Descriptiva,Comparar la variabilidad relativa de dos o más muestras,3
Descriptiva,Calcular el coeficiente de asimetría a partir de la muestra,2
Descriptiva,Calcular el coeficiente de asimetría a partir de la tabla de frecuencias,2
Descriptiva,Calcular el coeficiente de asimetría a partir de las sumas,2
Descriptiva,Interpretar el coeficiente de asimetría,2
Descriptiva,Calcular el coeficiente de apuntamiento a partir de la muestra,2
Descriptiva,Calcular el coeficiente de apuntamiento a partir de la tabla de frecuencias,2
Descriptiva,Calcular el coeficiente de apuntamiento a partir de las sumas,2
Descriptiva,Interpretar el coeficiente de apuntamiento,2
Descriptiva,Identificar si una muestra proviene de una población normal a partir de los coeficientes de asimetría y apuntamiento,2
Descriptiva,Calcular la media de una transformación lineal,1
Descriptiva,Calcular la desviación típica de una transformación lineal,1
Descriptiva,Calcular el coeficiente de asimetría de una transformación lineal,1
Descriptiva,Calcular el coeficiente de apuntamiento de una transformación lineal,1
Descriptiva,Aplicar la transformación de tipificación,2
Descriptiva,Interpretar una puntuación típica,2
Descriptiva,Comparar puntuaciones típicas,2
Regresión,Construir la tabla de frecuencias bidimensional,1
Regresión,Calcular las distribuciones marginales,1
Regresión,Dibujar el diagrama de dispersión,2
Regresión,Identificar los principales tipos de relaciones a partir del diagrama de dispersión,2
Regresión,Interpretar el grado de correlación aproximado a partir del diagrama de dispersión,2
Regresión,Calcular la covarianza a partir de la muestra,2
Regresión,Calcular la covarianza a partir de la tabla de frecuencias,2
Regresión,Calcular la covarianza a partir de las sumas,2
Regresión,Interpretar la covarianza,2
Regresión,Calcular la recta de regresión,2
Regresión,Calcular el coeficiente de regresión,2
Regresión,Interpretar el coeficiente de regresión,2
Regresión,Identificar el rol (dependiente o independiente) de las variables en un modelo de regresión,2
Regresión,Plantear el sistema de ecuaciones para obtener las medias a partir de las rectas de regresión,1
Regresión,Resolver el sistema de ecuaciones para calcular las medias a partir de las rectas de regresión,1
Regresión,Obtener las medias a partir del gráfico de las rectas de regresión,1
Regresión,Calcular la pendiente de una recta de regresión a partir de su gráfico,1
Regresión,Calcular el coeficiente de determinación lineal,3
Regresión,Calcular el coeficiente de determinación a partir de las rectas de regresión,2
Regresión,Interpretar el coeficiente de determinación lineal,3
Regresión,Calcular el coeficiente de correlación lineal,2
Regresión,Interpretar el coeficiente de correlación lineal,3
Regresión,Aplicar las transformaciones de variables para convertir un modelo no lineal en uno lineal,3
Regresión,Calcular un modelo de regresión exponencial,2
Regresión,Calcular un modelo de regresión logarítmico,2
Regresión,Comparar la bondad de ajuste de dos o más modelos de regresión,3
Regresión,Hacer predicciones con modelos de regresión,2
Regresión,"Interpretar la fiabilidad de una predicción teniendo en cuenta r, el tamaño de la muestra y si el valor de la variable independiente está en el rago de valores de la muestra",3
Regresión,Identificar datos atípicos en un diagrama de dispersión,1
Probabilidad,Identificar la unión de dos sucesos,1
Probabilidad,Identificar la interseción de dos sucesos,1
Probabilidad,Identificar el contrario de un suceso,1
Probabilidad,Identificar la diferencia de dos sucesos,1
Probabilidad,Identificar un suceso condicionado,1
Probabilidad,Determinar si dos sucesos son compatibles o incompatibles,2
Probabilidad,Aplicar las leyes de Morgan,2
Probabilidad,Calcular una probabilidad con la definición de Laplace,1
Probabilidad,Calcular una probabilidad con la definición frequentista,1
Probabilidad,Calcular la probabilidad de la unión de dos sucesos,2
Probabilidad,Calcular la probabilidad de la interseción de dos sucesos,2
Probabilidad,Calcular la probabilidad del suceso contrario,1
Probabilidad,Calcular la probabilidad de la diferencia de dos sucesos,2
Probabilidad,Calcular una probabilidad condicionada ,2
Probabilidad,Determinar si dos sucesos son dependientes o independientes,3
Probabilidad,Construir un árbol probabilístico,3
Probabilidad,Calcular la probabilidad de un suceso sumando las probabilidades de sus elementos,2
Probabilidad,Aplicar el teorema de la probabilidad total,3
Probabilidad,Aplicar el teorema de Bayes,3
Probabilidad,Interpretación de las probabilidades,2
Epidemiología,Calcular la prevalencia de un suceso,2
Epidemiología,Calcular la incidencia acumulada de un suceso,1
Epidemiología,Calcular el riesgo atribuible de un suceso,2
Epidemiología,Calcular el riesgo de un suceso,2
Epidemiología,Calcular el riesgo relativo de un suceso,2
Epidemiología,Interpretar el riesgo relativo,3
Epidemiología,Calcular el odds de un suceso,2
Epidemiología,Calcular el odds ratio de un suceso,2
Epidemiología,Interpretar el odds ratio,3
Epidemiología,Identificar la medida de asociación más adecuada dependiendo del tipo de estudio (prospectivo o retrospectivo),3
Epidemiología,Identificar la prevalencia de un suceso.,1
Epidemiología,"Identificar los verdaderos positivos, verdaderos negativos, falsos positivos y falsos negativos de un test diagnóstico",1
Epidemiología,Identificar la sensibilidad de un test diagnóstico,1
Epidemiología,Identificar la especificidad de un test diagnóstico,1
Epidemiología,Identificar el valor predictivo positivo de un test diagnóstico,1
Epidemiología,Identificar el valor predictivo negativo de un test diagnóstico,1
Epidemiología,Calcular la sensibilidad de un test diagnóstico a partir de la tabla,2
Epidemiología,Calcular la sensibilidad de un test diagnóstico como una probabilidad condicionada,2
Epidemiología,Interpretar la sensibilidad de un test diagnóstico,3
Epidemiología,Calcular la especificidad de un test diagnóstico a partir de la tabla,2
Epidemiología,Calcular la especificidad de un test diagnóstico como una probabilidad condicionada,2
Epidemiología,Interpretar la especificidad de un test diagnóstico,3
Epidemiología,Calcular la probabilidad de un resultado positivo en un test diagnóstico,2
Epidemiología,Calcular la probabilidad de un resultado negativo en un test diagnóstico,2
Epidemiología,Calcular el valor predictivo positivo de un test diagnóstico,2
Epidemiología,Interpretar el valor predictivo positivo de un test diagnóstico,3
Epidemiología,Calcular el valor predictivo negativo de un test diagnóstico,2
Epidemiología,Interpretar el valor predictivo negativo de un test diagnóstico,3
Epidemiología,Calcular la probabilidad de diagnóstico acertado,2
Epidemiología,Calcular la probabilidad de diagnóstico erroneo,2
Epidemiología,Combinar dos test diagnósticos,3
Variables Aleatorias Discretas,Definir una variable aleatoria en el contexto de un problema,1
Variables Aleatorias Discretas,"Identificar los valores de una variable aleatoria que cumplen un suceso del tipo “ninguno”, “todos”, “alguno”, “al menos”, “a lo sumo”, “más”, “menos”…",1
Variables Aleatorias Discretas,Calcular la función de probabilidad de una variable aleatoria discreta,2
Variables Aleatorias Discretas,Calcular la función de distribución de una variable aleatoria discreta,2
Variables Aleatorias Discretas,Dibujar el gráfico de la función de probabilidad,1
Variables Aleatorias Discretas,Dibujar el gráfico de la función de distribución,1
Variables Aleatorias Discretas,Obtener la función de probabilidad a partir del gráfico de probabilidad de una variable aleatoria discreta,2
Variables Aleatorias Discretas,Obtener la función de distribución a partir del gráfico de probabilidad acumulada de una variable aleatoria discreta,2
Variables Aleatorias Discretas,Calcular la media de una variable aleatoria discreta,2
Variables Aleatorias Discretas,Calcular la varianza de una variable aleatoria discreta,2
Variables Aleatorias Discretas,Calcular una probabilidad acumulada hacia la izquierda de una variable aleatoria discreta,2
Variables Aleatorias Discretas,Calcular una probabilidad acumulada hacia la derecha de una variable aleatoria discreta,2
Variables Aleatorias Discretas,Calcular la probabilidad de un intervalo de una variable aleatoria discreta,2
Variables Aleatorias Discretas,Identificar un modelo de distribución uniforme discreta,2
Variables Aleatorias Discretas,Identificar los parámetros de un modelo de distribución uniforme discreta,2
Variables Aleatorias Discretas,Calcular la probabilidad de un valor de una distribución uniforme discreta,2
Variables Aleatorias Discretas,Calcular la media de una distribución uniforme discreta,1
Variables Aleatorias Discretas,Calcular la varianza de una distribución uniforme discreta,1
Variables Aleatorias Discretas,Identificar el modelo de distribución de probabilidad binomial,3
Variables Aleatorias Discretas,Identificar el número de repeticiones de un modelo binomial,1
Variables Aleatorias Discretas,Identificar la probabilidad de éxito de un modelo binomial,2
Variables Aleatorias Discretas,Calcular la probabilidad de un valor de una distribución binomial,2
Variables Aleatorias Discretas,Calcular la media de una distribución binomial,2
Variables Aleatorias Discretas,Calcular la varianza de una distribución binomial,2
Variables Aleatorias Discretas,Identificar el modelo de distribución de probabilidad de Poisson,3
Variables Aleatorias Discretas,Identificar el parámetro lambda del modelo de Poisson,2
Variables Aleatorias Discretas,Cambiar la media de un modelo Poisson dependiendo del intervalo unidad considerado,2
Variables Aleatorias Discretas,Calcular la probabilidad de un valor de una distribución Poisson,2
Variables Aleatorias Discretas,Calcular la media de una distribución Poisson,1
Variables Aleatorias Discretas,Calcular la varianza de una distribución Poisson,1
Variables Aleatorias Discretas,Aplicar la ley de los casos raros,3
Variables Aleatorias Continuas,Comprobar si una función es función de densidad,2
Variables Aleatorias Continuas,Expresar un porcentaje o un número de individuos acumulados por encima o por debajo de un valor como una probabilidad,1
Variables Aleatorias Continuas,Calcular una probabilidad acumulada a partir de la función de densidad,2
Variables Aleatorias Continuas,Calcular la probabilidad de un intervalo a partir de la función de densidad,2
Variables Aleatorias Continuas,Calcular una probabilidad acumulada hacia la derecha a partir de la función de distribución,1
Variables Aleatorias Continuas,Calcular la probabilidad de un intervalo a partir de la función de distribución,2
Variables Aleatorias Continuas,Calcular la media de una distribución continua a partir de la función de densidad,2
Variables Aleatorias Continuas,Calcular la varianza de una distribución continua a partir de la función de densidad,2
Variables Aleatorias Continuas,Identificar un modelo de distribución de probabilidad uniforme continuo,2
Variables Aleatorias Continuas,Identificar los parámetros de un modelo de distribución uniforme continuo,1
Variables Aleatorias Continuas,Calcular la probabilidad acumulada de una distribución uniforme continua,2
Variables Aleatorias Continuas,Calcular la media de una distribución uniforme continua,1
Variables Aleatorias Continuas,Calcular la varianza de una distribución uniforme continua,1
Variables Aleatorias Continuas,Identificar un modelo de distribución de probabilidad normal,3
Variables Aleatorias Continuas,Identificar los parámetros (media y desviación típica) de un modelo de distribución normal,1
Variables Aleatorias Continuas,Aplicar las propiedades de un modelo de distribución normal,2
Variables Aleatorias Continuas,Aplicar la transformación de tipificación a una variable con distribución normal,2
Variables Aleatorias Continuas,Calcula la probabilidad acumulada de un valor con la tabla de la distribución normal estándar,2
Variables Aleatorias Continuas,Calcular un percentil con la tabla de la distribución normal estándar,2
Variables Aleatorias Continuas,Deshacer la transformación de tipificación para obtener un percentil de una distribución normal no estándar,2
Variables Aleatorias Continuas,Obtener la media de una distribución normal resolviendo una ecuación,2
Variables Aleatorias Continuas,Obtener la desviación típica de una distribución normal resolviendo una ecuación,2
Variables Aleatorias Continuas,Obtener la media y la desviación típica de una distribución normal resolviendo un sistema de ecuaciones,2
Variables Aleatorias Continuas,Calcular el rango intercuartílico de una distribución normal,1
Variables Aleatorias Continuas,Compute the number of individuals of a population that satisfy an event from its probability,1
